University,Location,GradeA,GradeB,GradeC,GradeD,GradeE,Quota,EntranceExam,Majors
សាកលវិទ្យាល័យគ្រប់គ្រង និងសេដ្ឋកិច្ច (បាត់ដំបង) - University of Management and Economics (UME),Battambang,100,80,50,50,0,112,No,Accounting|Banking|Management|Marketing|Law|Economic Science|Public Administration|Computer Science|English
វិទ្យាស្ថានជាតិវិជ្ជាជីវៈបាត់ដំបង - Battambang National Institute of Professions,Battambang,100,85,0,0,0,115,No,Civil Engineering|Electrical Engineering
សាកលវិទ្យាល័យបៀលប្រាយ (បាត់ដំបង) - Build Bright University (BBU - Battambang),Battambang,0,0,0,0,0,0,Yes,Information Technology|IT|Accounting
សាកលវិទ្យាល័យ ឯកទេស នៃកម្ពុជា (កំពង់ចាម) - Cambodia University of Specialties (Kampong Cham),Kampong Cham,100,80,50,50,20,120,No,Management|Marketing|Accounting|International Business|International Trade|Tourism|Banking|Economics|Khmer Literature|English|Law|Information Technology
ពុទ្ធិកសាកលវិទ្យាល័យ សម្តេចតេជោ ហ៊ុន សែន - Samdech Akka Moha Sena Padei Techo Hun Sen Buddhist University,Kampong Cham,100,75,0,0,0,95,No,English|Khmer Literature|Educational Administration|Management|Philosophy|Buddhist Philosophy|Buddhist Science|Law|Pali-Sanskrit
វិទ្យាស្ថានជាតិកសិកម្ម កំពង់ចាម - Kampong Cham National Institute of Agriculture,Kampong Cham,100,90,70,50,40,125,No,Agricultural Science|Animal Science and Veterinary Medicine|Fisheries Science|Agricultural Economics and Rural Development
សាកលវិទ្យាល័យគ្រប់គ្រង និងសេដ្ឋកិច្ច (កំពង់ចាម) - University of Management and Economics (UME),Kampong Cham,90,70,0,0,0,78,No,Marketing|Law|Accounting|Tourism Management|Community Development|Computer Science|English|Mathematics|Economics
ពុទ្ធិកសាកលវិទ្យាល័យព្រះសីហនុរាជ (កំពង់ឆ្នាំង) - Preah Sihanouk Raja Buddhist University (Kampong Chhnang),Kampong Chhnang,100,80,0,0,0,102,No,Philosophy|Buddhist Sociology|Management|Law|Khmer Literature|English|Educational Administration|Pali
វិទ្យាស្ថានវិទ្យាសាស្ត្រ និងបច្ចេកវិទ្យានៃកម្ពុជា - Cambodia Institute of Science and Technology,Kampong Chhnang,100,85,0,0,0,110,No,Accounting|Human Resource Management|Marketing|Banking and Finance|Information Technology|Public Administration
វិទ្យស្ថានបច្ចេកវិទ្យាកំពង់ស្ពឺ - Kampong Speu Institute of Technology (KSIT),Kampong Speu,0,0,0,0,0,0,No,
